	x	y	gene	sig	fc	cluster
C19orf12	3.736423899	2.795733038	C19orf12	0	-0.32732649	19
EMC10	-7.215965381	0.427663262	EMC10	0	-0.948815413	9
NHEJ1	-7.140259428	-15.94371117	NHEJ1	0	0.322254439	5
GGPS1	-6.107706583	-15.94328321	GGPS1	0	-0.348689465	9
DNM1	12.3454219	16.72957521	DNM1	0	-0.441231677	2
ATP6V1A	11.8979708	12.08449788	ATP6V1A	0	-0.34373476	9
NISCH	6.084265249	8.912731499	NISCH	0	-0.282166382	3
GALNTL6	11.40180761	19.41749163	GALNTL6	-1	-1.696121877	1
RNF10	9.664549808	4.392051834	RNF10	0	-0.179123551	4
VCP	10.19774109	1.33495507	VCP	0	0.196404036	7
MGME1	-7.186660161	-6.180513001	MGME1	0	0.482631308	10
CMTM2	-10.52056523	-7.930933487	CMTM2	0	-0.966428984	1
ARHGEF11	10.98126752	13.17870993	ARHGEF11	0	-0.308807058	4
CRTC1	5.903836404	8.536940578	CRTC1	0	-0.281038735	7
GATD1	-2.648029036	-7.284969269	GATD1	0	-0.388730127	6
UBXN10	-10.2847489	-3.151486843	UBXN10	1	1.283598044	4
PNMT	-8.898612705	-3.060670594	PNMT	1	1.215154649	3
ZC3H14	10.57503808	10.73783908	ZC3H14	0	0.287568785	3
IL11RA	-3.993705031	-10.34877271	IL11RA	0	-0.601550202	5
SLC25A37	12.37257136	3.064621947	SLC25A37	0	0.579944904	5
REEP4	-11.09859135	-11.71710957	REEP4	0	0.602953863	7
SPR	-7.734154332	-13.17582805	SPR	1	1.109096008	10
TP53BP1	10.36111169	9.995156303	TP53BP1	0	-0.241636232	2
GLT8D1	0.752281705	-5.280962649	GLT8D1	0	0.165095889	17
TUBB6	-17.01404044	-5.215980429	TUBB6	0	0.785806622	4
NKX1-2	-9.357253013	-12.52770189	NKX1-2	1	2.470614815	11
POU3F4	-9.665460281	1.061211358	POU3F4	1	1.643561734	14
INHA	-2.646088991	-7.761388328	INHA	0	-0.682315223	5
NUP214	7.988978404	5.779984584	NUP214	0	0.281941832	9
KIF20B	-18.01484022	-5.147383461	KIF20B	0	0.847168617	16
CUL1	9.965495214	10.96445092	CUL1	0	-0.258945819	5
NUDT18	-9.545209981	-12.84469415	NUDT18	0	-0.682761093	19
RNF227	-9.875343151	-11.21099	RNF227	0	0.312006372	9
PIKFYVE	10.2976351	7.60535906	PIKFYVE	0	0.483792847	19
RBFA	-7.022518664	-17.13193853	RBFA	0	-0.337067907	14
HID1	1.317511222	-5.75594855	HID1	0	-0.462265986	10
AKIRIN1	8.847271288	1.564545938	AKIRIN1	0	0.261695416	2
SUCO	8.154608016	4.394743674	SUCO	0	0.730838399	6
GDF10	-9.961224404	-0.811302791	GDF10	-1	-1.014853634	19
POLR2D	-2.837627397	-6.361606394	POLR2D	0	0.4565557	10
HTRA3	-13.90190465	-6.525767159	HTRA3	1	1.154355699	6
USP39	-0.962561473	-3.273150497	USP39	0	0.315779461	5
DHX8	3.696426872	2.638200435	DHX8	0	0.28817195	2
COX6C	9.462787689	-7.174017105	COX6C	0	-0.433806849	1
TCEAL9	2.988897925	-13.03584856	TCEAL9	0	0.748202639	19
ZNF334	-0.478343507	-1.08244979	ZNF334	0	-0.400663384	5
NYAP1	-3.215510667	-7.764243733	NYAP1	0	-0.405686714	14
GPN3	-1.521713717	-12.74553656	GPN3	0	0.451612057	3
ITGAV	1.717833197	7.985861353	ITGAV	0	0.934466435	14
PRRT2	3.752058927	4.3337285	PRRT2	0	-0.370040236	7
NLRX1	-6.200216208	-6.115177738	NLRX1	0	0.663940937	16
ZNF440	-3.008495175	-3.745728143	ZNF440	0	-0.390154114	1
SUGCT	0.947404545	6.80793409	SUGCT	0	0.845243601	2
EGFL7	3.312669769	-9.21022905	EGFL7	0	-0.924699018	1
PLK2	0.859814245	4.672906274	PLK2	0	-0.695882216	2
DYSF	5.490790902	5.780779043	DYSF	0	-0.746123983	4
RTN2	2.718055221	-1.843389777	RTN2	0	-0.399083578	3
ASPHD2	-2.772971719	0.268025674	ASPHD2	0	-0.393087829	5
RNF123	0.863114532	-5.634915471	RNF123	0	-0.259284476	6
XK	-1.153296158	-2.270660334	XK	0	-0.722159015	5
UTP3	-1.916510718	-13.03959237	UTP3	0	0.306966964	15
HDHD3	-1.202267724	-8.110003678	HDHD3	0	-0.483121657	2
IRAK2	-6.723643105	-0.169793566	IRAK2	0	-0.444238837	10
ITGA6	-1.759257151	8.112208479	ITGA6	0	0.545328198	23
CDC45	-16.28335379	-5.255165596	CDC45	1	1.454370089	10
EDC3	3.31951238	-0.358539657	EDC3	0	0.337729283	1
ZNF239	-5.624013509	-6.892185074	ZNF239	0	-0.461040413	6
MMP16	11.30988741	19.67371622	MMP16	0	-0.660213917	10
KIF19	-11.59674188	-1.768101591	KIF19	1	1.540345967	4
CRAT	-4.288953697	-9.694562903	CRAT	0	-0.281988274	3
SLC22A23	6.361568095	14.49410933	SLC22A23	0	-0.316050741	1
CNN3	-8.415486029	6.390934417	CNN3	0	0.48561551	2
TUBB4B	9.574950345	-5.799476305	TUBB4B	0	0.42165943	5
EIF4E3	-1.129642489	2.395875506	EIF4E3	0	-0.82919328	4
TPST1	10.48052964	14.14382555	TPST1	0	-0.357817198	3
SPEGNB	-11.03936432	-12.12472654	SPEGNB	1	1.301233613	2
CTR9	4.383270621	-2.151164617	CTR9	0	0.205916326	9
PROCA1	-8.319759708	-10.794502	PROCA1	0	-0.472976199	17
SMARCA2	10.95951096	17.07321656	SMARCA2	0	-0.434023472	4
COBL	7.11134621	16.68953793	COBL	0	-0.825832885	3
PNMA5	-10.697541	-5.309426293	PNMA5	0	-0.993707205	2
MED29	1.285717502	-9.714871726	MED29	0	-0.240089752	17
ZBTB38	11.59674021	12.25639098	ZBTB38	0	-0.60821459	10
SLC44A1	7.070799215	16.32031741	SLC44A1	0	0.518844502	5
YIPF4	8.960871517	6.526982889	YIPF4	0	0.628276051	11
NBEAL2	-12.71703335	-11.41937789	NBEAL2	0	-0.610576442	1
REM2	-13.93449259	-12.02962911	REM2	0	-0.369811003	3
GRIK5	6.089012034	7.528031676	GRIK5	0	-0.459852877	5
ZFYVE27	9.104815569	1.237581372	ZFYVE27	0	-0.305204214	17
NACAD	-3.62103024	-11.93600317	NACAD	0	-0.226409944	14
KAT14	-0.451667867	-4.22501855	KAT14	0	-0.322664414	6
RCCD1	-4.75668762	-9.62704951	RCCD1	0	0.388978019	9
LRRC7	10.81114261	19.04237696	LRRC7	0	-0.820177774	9
ZHX3	9.069803018	13.57063581	ZHX3	0	-0.386395807	10
NCK1	6.424402752	1.917694335	NCK1	0	0.572567292	26
CPLX1	11.70583564	1.733113331	CPLX1	0	-0.588080323	10
SLC39A14	2.202145298	1.807056739	SLC39A14	0	0.418052636	20
LINC02724	-9.629017507	-11.32255862	LINC02724	0	-0.670090378	6
PSPC1	10.61025526	14.60086845	PSPC1	0	-0.237260829	17
RCOR1	5.554475805	8.052043328	RCOR1	0	0.290882047	19
TFE3	-4.889295934	-9.765984632	TFE3	0	0.236399494	10
ATP6V1B1	-11.25082935	-8.497946139	ATP6V1B1	0	-0.866948307	3
PAM	12.09235468	19.56404528	PAM	0	-0.776329528	3
ARHGAP4	-11.65692682	-5.651297554	ARHGAP4	0	-0.543161927	5
IVNS1ABP	-4.121410525	4.414921942	IVNS1ABP	0	0.270845576	5
MYL12A	-15.56446443	-2.390685774	MYL12A	0	0.50612796	2
CMTR2	-1.288242878	-6.187090848	CMTR2	0	0.364036964	11
EAPP	7.184632767	-2.090732265	EAPP	0	0.363482862	3
GABRB2	11.55256898	18.57586165	GABRB2	-1	-1.481400734	2
SSBP3	6.221386655	13.01634641	SSBP3	0	0.289139246	3
HOXA6	-7.879871246	-3.600181218	HOXA6	1	2.007262797	2
SLC17A9	-13.47555155	-7.693866704	SLC17A9	1	1.249929086	11
VOPP1	3.502229016	9.687036392	VOPP1	0	-0.443461516	23
MAGEH1	4.264080582	-10.01728061	MAGEH1	0	0.410951851	9
SAMM50	0.27541931	-10.22848462	SAMM50	0	0.388301922	16
RNF13	7.965813226	15.57812044	RNF13	0	0.306448588	6
EPN3	-13.23071233	-4.192896987	EPN3	-1	-1.037023237	3
GLI2	-8.476524265	4.264302788	GLI2	0	0.827550226	6
G0S2	-15.52380716	-1.289032239	G0S2	1	1.332075639	5
FKTN	10.52757014	7.198126789	FKTN	0	-0.28944324	8
MID1	-0.096591947	9.245049463	MID1	0	0.610036321	10
TP53AIP1	-11.20752516	-11.15452875	TP53AIP1	0	-0.679296892	10
TMEM74B	-6.914439784	-1.638342393	TMEM74B	0	-0.848062061	10
ANKDD1A	4.209687653	5.772984178	ANKDD1A	0	-0.534416906	1
MC1R	-12.70629541	-11.05676369	MC1R	0	-0.606047998	11
CACNA1E	11.82141961	18.5271904	CACNA1E	0	-0.847009036	5
TMEM151A	4.172572456	-5.753995126	TMEM151A	0	-0.478018286	1
RYR3	13.13598233	18.10651546	RYR3	0	-0.981708962	2
KAT2B	-4.125988677	8.815272539	KAT2B	0	0.248940984	5
GRIPAP1	6.327941362	4.074107838	GRIPAP1	0	-0.368708336	9
MCUB	-8.154329048	3.26057733	MCUB	1	1.043332939	6
WDHD1	-2.132808669	-3.417719399	WDHD1	0	0.43902486	14
DGAT2	-7.039311524	-9.227294864	DGAT2	0	-0.353156788	19
DCAF7	8.021623574	6.324015293	DCAF7	0	0.316638095	2
GADD45G	-15.12275371	0.401323455	GADD45G	1	1.116205863	19
DNASE1L2	-12.13858248	-11.47699841	DNASE1L2	0	-0.758701658	2
ZNF25	10.42149368	5.608437943	ZNF25	0	-0.254266371	13
LETM2	-5.996693268	-6.221650538	LETM2	0	-0.368912282	1
GPR137	-2.358846578	-9.122167799	GPR137	0	-0.414728093	3
NUP58	11.22315225	8.329121543	NUP58	0	0.596347413	3
CLVS2	7.518152615	12.51949113	CLVS2	0	-0.375519437	1
VPS41	8.574427906	12.44922409	VPS41	0	-0.39401168	6
PHTF1	12.32020488	10.83673867	PHTF1	0	-0.445861585	4
PIGH	0.273788477	-10.1414677	PIGH	0	0.288737473	1
MUC5B	-10.94148518	-10.20997829	MUC5B	1	2.194017931	1
CHCHD3	10.63888463	14.73879778	CHCHD3	0	0.456977316	15
PTCH2	10.57669472	1.448376073	PTCH2	0	-0.746798443	14
ZNF692	1.755338529	-4.945606113	ZNF692	0	-0.750048093	5
PYCR1	-2.115961662	-14.43258194	PYCR1	0	0.397821213	5
OSBPL6	11.44632252	17.58267298	OSBPL6	0	-0.243363626	4
E2F4	-2.297303884	-8.698998724	E2F4	0	0.429606455	3
PSRC1	2.60653669	-3.260689649	PSRC1	0	0.753934677	6
WDR36	6.931477694	1.992309313	WDR36	0	0.774775231	10
PAFAH2	-15.22295779	-8.117286247	PAFAH2	0	0.475105484	2
SMIM13	5.920935443	-3.015588255	SMIM13	0	-0.380781998	2
PTK7	-7.054883072	2.527643661	PTK7	0	0.586513268	2
CERK	0.515237401	-2.309006347	CERK	0	0.203474504	14
PPP4R3B	9.476736867	6.693410909	PPP4R3B	0	0.233558664	1
TOP1	10.83160318	10.84468626	TOP1	0	0.336919592	5
GOLGA8A	12.54074421	12.11456579	GOLGA8A	0	-0.987521519	1
WBP11	5.634425485	-2.921825083	WBP11	0	0.296635429	14
ASNS	11.60542744	0.866128904	ASNS	0	-0.289188993	6
AKR1A1	1.375586269	-12.01889013	AKR1A1	0	0.3193231	6
RAB5A	7.728279308	3.338417	RAB5A	0	0.709409689	10
HES2	-13.76899491	-10.15273764	HES2	1	2.174077493	19
MANEAL	-3.140435915	-11.10933084	MANEAL	0	-0.374511261	2
COL4A6	-10.38918434	1.829975599	COL4A6	1	1.450908557	2
CREG2	5.388717262	12.11542907	CREG2	0	-0.548118735	5
RNF168	6.269452656	4.382162634	RNF168	0	0.399805487	11
RETREG3	5.436940778	2.469951168	RETREG3	0	0.277218709	5
EPB41L2	7.5821751	17.10442164	EPB41L2	0	0.585176984	4
CHRM4	-9.254468905	-10.98220315	CHRM4	0	-0.706623412	3
ZDHHC12	-2.091234308	-14.58030284	ZDHHC12	0	0.689878431	3
CCNJ	-7.326543306	-7.896014449	CCNJ	0	0.636800775	1
SYTL2	4.922115675	11.94978621	SYTL2	0	-0.724916305	3
IRAK4	-7.003953979	-6.983759092	IRAK4	0	0.409975402	1
ANG	-1.538406919	-13.64383032	ANG	1	1.04094887	9
ISCA2	-0.139684699	-13.10479113	ISCA2	0	0.339043587	19
POLD3	6.940766284	4.261320856	POLD3	0	0.426353463	3
RRAGB	7.98581012	2.294147995	RRAGB	0	-0.245216131	10
MIR3936HG	9.218727223	9.600874992	MIR3936HG	0	-0.52631211	20
LINC01322	12.25318507	20.09403573	LINC01322	-1	-1.030443262	3
PPTC7	2.759995606	-2.333322924	PPTC7	0	0.428239167	3
YPEL3	10.1377379	-4.876744871	YPEL3	0	-0.450352504	5
RNF138	5.956148751	1.572573068	RNF138	0	0.415846807	4
SBDS	6.323102421	-6.434824609	SBDS	0	0.398553894	9
ATG5	9.985637909	10.58611846	ATG5	0	0.409805362	19
ADGRG1	-12.70249531	1.627403901	ADGRG1	0	0.366786257	9
SNX7	1.244884529	9.338337061	SNX7	0	0.776189154	2
PES1	-6.237665124	-11.36153876	PES1	0	0.348974411	3
DLGAP3	5.613986054	7.818314135	DLGAP3	0	-0.41484385	10
TMEM14A	10.37700275	-5.052694618	TMEM14A	0	-0.465019497	4
KIF27	1.871225589	4.451053449	KIF27	0	0.627041704	2
SAR1B	8.433363444	-0.626907611	SAR1B	0	0.65666086	3
EEF2	9.798945126	-9.190124795	EEF2	0	0.332661652	1
DSP	-9.401042554	1.635453688	DSP	1	1.968063024	3
CXCL12	-12.5508105	0.387876108	CXCL12	1	1.748266714	5
BLK	-11.25438315	-1.432637648	BLK	-1	-2.155855363	5
AATK	3.774523279	13.80825112	AATK	0	-0.426378934	6
KCNN2	4.772903061	12.67417498	KCNN2	0	0.562472917	6
TTI2	-1.41878376	-3.229023042	TTI2	0	0.449294692	19
CETN2	2.297881114	-12.78435401	CETN2	0	0.439105795	10
C12orf4	8.22972616	3.710534356	C12orf4	0	-0.347049374	6
BRF2	-6.286715641	-11.46106705	BRF2	0	0.416561223	6
ETFB	2.389556963	-12.8384378	ETFB	0	-0.789949432	18
NXT1	-9.608131594	-14.65823803	NXT1	0	0.723649168	17
STRAP	9.315414219	-4.243285989	STRAP	0	0.342616285	6
MAGED1	11.22372474	12.63822662	MAGED1	0	0.497672217	5
PICK1	2.193882148	-4.924095976	PICK1	0	-0.45089437	2
SPOP	9.517230299	8.594194771	SPOP	0	0.197520659	14
B4GALT2	-2.623103011	-10.25253641	B4GALT2	0	-0.393485733	6
USP24	10.38586735	11.88600649	USP24	0	-0.185879057	2
THOC3	-4.32943907	-17.42368946	THOC3	0	0.642536774	18
ARFRP1	-2.490907123	-9.59303113	ARFRP1	0	-0.517597236	9
ENOSF1	-4.916525277	8.461255477	ENOSF1	0	0.729425266	18
PALD1	-13.05927211	3.010437911	PALD1	0	0.51431434	19
ITPKB	-7.929646943	5.487140312	ITPKB	1	1.015002237	5
CISD1	9.712197918	-5.172597381	CISD1	0	-0.437569315	10
YIF1A	0.122615117	-13.41823116	YIF1A	0	0.481009475	2
ITGA3	4.254474984	3.552516437	ITGA3	0	-0.610289239	19
SORBS1	10.31829846	19.51171517	SORBS1	0	-0.357701131	9
FOXP4	-12.21364907	-3.556573301	FOXP4	0	0.468233333	10
KIF1A	13.35862149	6.521650762	KIF1A	0	-0.257998978	10
GID8	1.200468108	-6.966326293	GID8	0	0.231346655	10
GPR108	-2.760404016	-13.40371664	GPR108	0	0.458816449	4
RFC4	-16.75158805	-5.046908417	RFC4	0	0.348712134	3
TSNARE1	4.472047852	4.873967714	TSNARE1	0	-0.48888441	14
SHISA4	-2.046687985	-11.62577531	SHISA4	0	-0.534435014	9
P2RX3	-10.79965489	-9.958916444	P2RX3	0	0.660625217	3
PRCD	-10.66826261	-2.470936715	PRCD	0	-0.424218141	1
TMCO3	7.009107061	5.290061242	TMCO3	0	0.222735255	15
MRC2	-11.13972742	-0.300900535	MRC2	0	0.872614993	17
LONP2	10.39842727	13.61824911	LONP2	0	0.397595647	6
CNKSR3	-6.712320779	6.034306313	CNKSR3	0	0.676706785	5
TPRG1L	1.981141351	-7.717669256	TPRG1L	0	0.54799157	13
NHLRC2	8.230825627	5.016427565	NHLRC2	1	1.200473339	6
LBR	-2.282901133	-1.577639069	LBR	0	0.235649104	2
SMARCA1	10.48144518	5.880822378	SMARCA1	0	0.337288082	18
FTL	11.12266343	-6.849829109	FTL	0	0.775387016	1
NR3C1	8.253831141	16.55992697	NR3C1	0	0.572878067	8
RPL10A	10.62450708	-8.574174808	RPL10A	0	0.460898233	17
RAB6D	-12.62538278	-8.638179242	RAB6D	-1	-1.009228238	10
TMX2	8.602663044	0.368149761	TMX2	0	0.283880163	9
THEMIS2	-9.364602523	-1.775024585	THEMIS2	0	-0.581280032	5
SLC12A8	4.333222907	8.587739465	SLC12A8	1	1.451561939	10
SERBP1	8.595195715	-3.247419203	SERBP1	0	0.264591243	10
PTAR1	-0.149782368	7.976613721	PTAR1	0	0.548064311	2
PANTR1	3.638794618	11.11102115	PANTR1	0	0.56962628	19
PENK	-9.676843494	3.28760044	PENK	-1	-1.51252396	15
ZFYVE19	-3.515594123	-11.26531978	ZFYVE19	0	-0.456691631	1
C2CD5	11.39315646	16.22784533	C2CD5	0	-0.261225758	2
ZNF546	-2.306257534	-3.207120293	ZNF546	0	-0.475443175	10
TMEM25	3.500157283	-5.292242865	TMEM25	0	-0.339850145	4
PHLDB1	-6.326709753	8.073933335	PHLDB1	0	-0.325715805	14
MEAF6	8.962440488	-3.906919607	MEAF6	0	-0.242594426	10
TPT1	10.72490847	-8.371639795	TPT1	0	0.608925406	8
MAPKAPK5	5.895923478	4.238969217	MAPKAPK5	0	0.232504907	6
CRTAP	-3.27025546	-3.487856417	CRTAP	0	0.416913353	10
ATXN10	10.65999619	14.48152879	ATXN10	0	-0.373932487	2
MAF	-8.427521189	3.231218016	MAF	-1	-1.295535166	3
C2orf50	-6.53771974	-3.806225725	C2orf50	0	-0.909188243	3
CXXC4	0.085689848	9.092416246	CXXC4	0	0.419882699	10
GAS6	5.188678935	-4.467094653	GAS6	0	-0.628233726	6
SLC35A1	-1.085284663	2.666278617	SLC35A1	0	-0.27876015	1
BBS4	6.026450777	-0.096976004	BBS4	0	0.244829287	4
RBM27	-1.222948318	2.152212618	RBM27	0	0.421083738	14
MAP9	12.47343792	4.096199256	MAP9	0	0.604081361	19
DGKQ	-2.276689704	-8.119763477	DGKQ	0	-0.428517443	1
ST3GAL2	5.293729921	6.483831655	ST3GAL2	0	-0.290426843	4
RPS7	10.71290437	-8.399952489	RPS7	0	0.586990884	2
NRBP1	4.454894006	-2.474887353	NRBP1	0	0.213566955	10
GDAP2	8.099836007	3.547588215	GDAP2	0	0.724916185	16
IL10RB	-4.236221946	-4.243220136	IL10RB	0	-0.415955294	1
CCDC59	7.225631742	4.317557741	CCDC59	0	0.55862278	17
BTBD9	10.01749146	17.15706687	BTBD9	0	-0.353915343	5
CLTB	8.613621559	-5.470533025	CLTB	0	-0.589612617	2
POLD1	-14.05291225	-10.62922336	POLD1	0	0.461207608	13
DCAF10	10.28084653	11.84081439	DCAF10	0	0.455711652	2
AKR1E2	-3.120142795	-5.96590459	AKR1E2	0	-0.824896293	4
MON2	10.00888991	15.76284751	MON2	0	0.408789623	6
SLC6A17	6.472927594	7.845128468	SLC6A17	0	-0.886602392	6
FOXN2	-5.128236409	8.709832407	FOXN2	0	0.473308744	5
ASPM	-17.75855826	-5.818195231	ASPM	1	1.216450865	14
CUL7	-4.674036975	-9.6731783	CUL7	0	0.334660552	6
MYCL	-7.672859106	-13.09861705	MYCL	0	0.663800931	9
ATPAF1	9.436059158	6.818514577	ATPAF1	0	0.349182165	10
LAMA2	1.856560823	8.461349117	LAMA2	0	-0.763388844	6
TRERF1	5.965054795	12.0836687	TRERF1	0	0.382319412	2
TXNRD3	-1.565806482	-2.213276498	TXNRD3	0	0.55207094	5
ANKRD13B	-8.611017207	-16.35195523	ANKRD13B	0	-0.440203125	14
NARS1	9.002720666	-4.42759326	NARS1	0	0.292951524	6
RPLP0	10.11295505	-8.958164518	RPLP0	0	0.423939345	7
ARF1	10.10549572	-4.095994708	ARF1	0	0.438380893	3
GORASP2	4.96138055	-1.141108504	GORASP2	0	0.496141935	2
KDSR	5.144738654	-1.905756077	KDSR	0	0.316910849	19
CZIB	0.948435405	-12.45247762	CZIB	0	-0.253747747	12
RAPH1	12.17171067	10.00252204	RAPH1	0	-0.301873198	9
ZFR	10.75686666	13.3341516	ZFR	0	0.385497323	5
MLXIPL	5.032937962	4.269876479	MLXIPL	0	-0.853859368	5
STS	8.495743215	9.775385348	STS	-1	-1.004496684	17
ARID5A	-11.63830665	-1.430196579	ARID5A	0	0.672537543	4
POMT2	-0.661581642	-3.507879383	POMT2	0	0.293231909	11
VPS4A	1.929349796	-7.66629801	VPS4A	0	-0.195660286	5
DENND6A	9.498987393	8.434226569	DENND6A	0	0.382172777	11
TRPS1	6.071729707	16.4852165	TRPS1	0	0.880859137	10
MRPS25	9.310290471	1.978725444	MRPS25	0	-0.225962631	14
FUT7	-12.29721883	-10.52497647	FUT7	0	-0.938615697	4
RPL7A	10.80212611	-8.200862655	RPL7A	0	0.444956702	6
S1PR2	-13.83316645	-10.13163661	S1PR2	0	-0.266564938	4
E2F7	-15.64570378	-5.496956799	E2F7	1	1.130258678	5
HOXB-AS1	-13.35419736	-14.52513383	HOXB-AS1	0	-0.671804323	4
PRPS1	-4.086388516	-13.54331471	PRPS1	0	0.776500344	4
SLC29A1	1.356653143	-5.854883502	SLC29A1	0	-0.317654876	4
GOLGA3	7.062048221	6.362518063	GOLGA3	0	0.537023636	6
PIK3R3	-1.618657165	2.527013901	PIK3R3	0	-0.457206785	3
CNOT6	5.704396518	2.543210725	CNOT6	0	0.316865221	7
RAP2C	-16.07096706	-8.773443818	RAP2C	0	0.79648491	3
ZNF521	15.6092929	13.12228245	ZNF521	0	-0.509221431	4
RNF26	-6.311157116	-13.2703813	RNF26	0	0.321589922	7
FIGNL2	-9.469720391	-8.257593781	FIGNL2	0	0.947636631	5
SPOPL	3.774273423	7.245882587	SPOPL	0	0.665521969	10
TP53I11	-8.879198936	1.2633615	TP53I11	0	-0.218031015	6
BICDL1	9.718308753	12.82256824	BICDL1	0	-0.642569168	6
ZNF736	8.444145796	4.739127988	ZNF736	1	1.333333105	6
BMP6	-1.163423593	9.563247176	BMP6	1	1.234988058	2
NFE2L1	6.021338767	-3.580325359	NFE2L1	0	0.29629736	19
FOXJ2	-5.941235196	-9.726412786	FOXJ2	0	-0.230901772	4
KITLG	2.399254235	9.849808933	KITLG	1	1.444622792	1
PHACTR3	7.707101696	16.38985574	PHACTR3	0	-0.375504657	4
CYRIB	10.1186509	17.2582004	CYRIB	0	-0.317963675	15
AQP3	-11.44631287	-14.14333877	AQP3	1	1.918969429	1
B3GALT6	-5.535847506	-13.11883132	B3GALT6	0	-0.553150499	6
PPIE	-3.06325325	-2.643343046	PPIE	0	0.374158074	10
KALRN	10.9771907	18.69395526	KALRN	0	-0.25756216	10
NCAPG	-17.40543867	-5.732298421	NCAPG	0	0.920619923	20
RPL22L1	-16.68140575	-3.90946625	RPL22L1	0	0.673324178	6
ACVR2B	2.772852608	0.139120285	ACVR2B	0	0.39242694	10
BET1	0.042754922	-4.011267979	BET1	0	0.531056335	12
RAB24	4.511649439	-6.460276813	RAB24	0	-0.39223636	2
NSMCE4A	-6.759122407	-6.821573896	NSMCE4A	0	0.207209626	1
SHROOM3	15.37802669	11.83922491	SHROOM3	0	0.478653351	3
TMEM245	10.45172848	11.43105246	TMEM245	0	0.68051368	17
PARP14	-12.65197845	2.134979014	PARP14	1	1.202790632	2
NEUROD2	-4.162191752	2.599469676	NEUROD2	-1	-2.681352478	17
CADM2	9.952454621	18.95154962	CADM2	0	-0.391323476	3
RAB26	10.77284306	-0.231869324	RAB26	0	-0.748399451	1
GPD1L	3.67004973	3.291582735	GPD1L	0	-0.359521132	9
CCDC3	6.98011756	12.37998101	CCDC3	0	-0.534968596	4
INTS10	10.70893733	10.10809263	INTS10	0	0.208444127	2
PADI2	-6.835862065	7.289497939	PADI2	0	-0.901307579	6
ARHGAP24	-0.1188174	10.42051469	ARHGAP24	0	-0.674121035	2
OLFM3	12.07755538	18.78080938	OLFM3	0	-0.775549019	10
ZNF438	9.414900719	10.20932929	ZNF438	0	0.373567055	17
ROBO3	-7.341646041	2.029925331	ROBO3	-1	-1.103493282	17
LINC02035	-8.222161317	-8.033739158	LINC02035	0	-0.237010177	19
DEPDC5	6.04338165	5.998142108	DEPDC5	0	-0.315883376	1
PDP2	-4.38394659	-7.052187085	PDP2	0	0.438893442	14
ATP11B	10.45424051	10.56486539	ATP11B	0	0.474809791	9
SHISA7	2.189454325	-1.560567244	SHISA7	0	-0.530742122	3
FSCN2	-12.05733252	-10.42981233	FSCN2	0	-0.487480102	1
ABHD13	5.781264996	-0.418607394	ABHD13	0	0.344150076	23
FCHSD2	4.650777875	16.57365259	FCHSD2	0	-0.268588404	2
SDHC	-0.490178133	2.425152183	SDHC	0	0.334093635	10
HADH	4.319804021	-0.149917549	HADH	0	0.242077152	5
NDUFA4L2	-14.4299982	-1.83964712	NDUFA4L2	0	-0.476830612	1
GPLD1	11.0993568	2.762130126	GPLD1	0	-0.611878275	7
GYPC	-11.84097511	-0.465377431	GYPC	0	0.674281693	1
PCDHB16	-7.408909272	-16.4704446	PCDHB16	0	-0.633276926	16
TMEM120A	-2.314521929	-10.97552085	TMEM120A	0	-0.408097034	1
CDH15	-10.86000286	-2.120774899	CDH15	0	0.86534723	2
MASTL	-7.313254128	-6.296253885	MASTL	0	0.445843588	3
DCAF1	3.236479338	1.095658245	DCAF1	0	0.409215629	7
ZNF671	-7.318119105	-11.01912823	ZNF671	-1	-1.978316982	3
GPRIN3	0.635865268	10.47337101	GPRIN3	0	-0.40779681	1
CBX8	-10.81778798	-11.67542776	CBX8	0	0.50103388	14
PUS7L	12.43930423	9.253214861	PUS7L	0	-0.432292323	17
PLEKHG4	-11.06569823	-11.35772241	PLEKHG4	0	0.825472158	10
UFSP1	-9.829677139	-12.86389136	UFSP1	0	-0.601864166	2
LOXL1-AS1	-12.61632879	-5.494704087	LOXL1-AS1	0	0.615763923	6
TBC1D2B	4.162312624	3.445399815	TBC1D2B	0	0.28187645	10
RUNX2	-1.108265749	9.39162736	RUNX2	-1	-2.352640885	1
CDHR4	-12.21348923	-3.096716768	CDHR4	0	-0.871579584	6
PGBD1	7.123977487	1.203584525	PGBD1	0	-0.264152489	3
C2orf80	2.564682188	4.899083563	C2orf80	0	-0.464113293	2
REXO2	1.891081141	-10.87957316	REXO2	0	0.517148117	9
TTLL1-AS1	-10.93232089	-8.528475007	TTLL1-AS1	0	-0.521291956	10
SLC25A41	-7.307677933	-5.23611739	SLC25A41	0	-0.803946015	18
GJC2	-12.93346701	-2.024104314	GJC2	0	-0.686139662	6
LGI3	4.465197063	-5.726314281	LGI3	0	-0.766241741	5
MAP3K9	7.666665142	7.338316538	MAP3K9	0	-0.270516616	14
B3GNT5	-13.07794103	2.758172709	B3GNT5	0	0.541686089	8
DPY19L2	12.45995801	10.56467626	DPY19L2	0	-0.944972581	3
NKAIN1	-6.721776352	1.645642628	NKAIN1	0	-0.306343188	6
KSR2	11.63608154	17.41302991	KSR2	-1	-1.086251837	2
FBXO33	9.333362875	7.720969423	FBXO33	0	0.400357657	17
ZNF771	-3.42779438	-6.877471659	ZNF771	0	-0.77391217	2
